headline, link, day, month, year, page
HAITIANS HOPE FOR OUR INTERVENTION: Look to Firmin to Start Another Revolution to Give America an Excuse for Taking Action. FOREIGN LOAN A MENACE Syndicate of Bankers Would Control the Country's Finances if President Simon's Plan Went Through., https://search.proquest.com/docview/97244185/95060BEF90BE446APQ/1?accountid=12702, 01, 1, 1911, 16
WASHINGTON'S EYE ON HAITI.: Island Republic's Finances Engaging State Department's Attention., https://search.proquest.com/docview/97127456/95060BEF90BE446APQ/2?accountid=12702, 08, 1, 1911, C3
TROUBLE BREWING IN THE BLACK REPUBLIC OF HAITI, https://search.proquest.com/docview/97134937/95060BEF90BE446APQ/3?accountid=12702, 08, 1, 1911, SM5
FIRMIN NOT LANDED IN HAITI.: Ship Which Brings Exiled Leader Takes Him Away Again., https://search.proquest.com/docview/97235915/95060BEF90BE446APQ/4?accountid=12702, 09, 1, 1911, 2
RIVAL REPUBLIC INVADES HAITI: Port-au-Prince Preparing to Resist Invasion Considers War Is Now Inevitable. WASHINGTON ACTION LIKELY It Had Been Thought There That Long Standing Boundary Dispute Was on Way to Settlement., https://search.proquest.com/docview/97143568/95060BEF90BE446APQ/5?accountid=12702, 21, 1, 1911, 5
Article 11 -- No Title, https://search.proquest.com/docview/97139849/95060BEF90BE446APQ/6?accountid=12702, 22, 1, 1911, C4
HAITI ASKS OUR AID TO PREVENT A WAR: Move by President Simon -- Ready to Arbitrate Boundary Dispute with Santo Domingo. WANTS TROOPS WITHDRAWN Road Building in Disputed Territory Critical Matter -- Both Sides Gathering Forces -- No Washington Action., https://search.proquest.com/docview/97156025/95060BEF90BE446APQ/7?accountid=12702, 22, 1, 1911, C4
ACTS FOR HAITIAN PEACE.: Knox Offers Our Services to Arrange Boundary Dispute with Santo Domingo., https://search.proquest.com/docview/97227971/95060BEF90BE446APQ/8?accountid=12702, 23, 1, 1911, 3
HAITIAN MUTINEERS TO DIE.: Twenty-three Survivors of Gunboat Liberte Explosion Condemned., https://search.proquest.com/docview/97167503/95060BEF90BE446APQ/9?accountid=12702, 28, 1, 1911, 1
ANOTHER REVOLT IN HAITI.: Rebels Advancing on Fort Liberte -- Panic at Cape Haitien., https://search.proquest.com/docview/97208069/95060BEF90BE446APQ/10?accountid=12702, 03, 2, 1911, 4
