headline, link, day, month, year, page
HAITI'S RICH WOODS.: Supply of Valuable Timber Almost Inexhaustible., https://www.proquest.com/docview/96586236/AEB17499F3C44073PQ/9?accountid=14761,2,1,1905,4
WE THREATEN HAITI.: Demand Annulment of Sentence Passed on American Citizen., https://www.proquest.com/docview/96511600/AEB17499F3C44073PQ/11?accountid=14761,14,1,1905,1
A Monthly Special for Revolutionists: Steamer to Accommodate &quot;Statesmen&quot; for Haiti., https://www.proquest.com/docview/97092733/AEB17499F3C44073PQ/15?accountid=14761,9,1,1910, SM10
COTTON PROSPECTS IN HAITI.: Financial Disturbances Caused Reduction of Increased Planting., https://www.proquest.com/docview/96589246/AEB17499F3C44073PQ/17?accountid=14761,2,1,1905,4
WILL DELAY BOMBARDMENT.: Haiti to Give Time for Non-Combatants to Leave Rebel Towns., https://www.proquest.com/docview/96794056/AEB17499F3C44073PQ/34?accountid=14761,19,1,1908, C3
HAITI LOSES $75000.: Agent Who Was to Buy Cruiser Dies -- Money Disappears., https://www.proquest.com/docview/96572227/AEB17499F3C44073PQ/36?accountid=14761,17,1,1905,8
CRUISER ORDERED TO HAITI.: Washington Government Hears of the Destruction of American Property., https://www.proquest.com/docview/96821595/AEB17499F3C44073PQ/43?accountid=14761,22,1,1908,1
NORD ALEXIS MAY RETURN.: President Simon of Haiti Willing to Welcome the Deposed Ruler., https://www.proquest.com/docview/97007625/AEB17499F3C44073PQ/46?accountid=14761,5,1,1910,20
DENOUNCED AS A PIRATE.: Haiti Wants Friendly Nations to Attack Gen. Firmin's Ship., https://www.proquest.com/docview/96808208/AEB17499F3C44073PQ/50?accountid=14761,23,1,1908,7
UPRISING IN HAITI; TWO TOWNS SEIZED: Exiled Islanders Land at Gonalves and Occupy That City and St. Marc. MARCHING ON THE CAPITAL Strong Body of Government Troops Sent Out to Meet Them -- Vigorous Repression Proposed., https://www.proquest.com/docview/96823974/AEB17499F3C44073PQ/61?accountid=14761,17,1,1908,4
HAITIAN OUTFIT FOR REVOLUTION SEIZED: 2000 Rifles $800000 in Paper Money and 200000 Rounds of Ammunition Held Up. OUR CONSUL DISMISSED Charles Miot Is Said to Have Been Concerned In the Outbreak -Fermin's Agent In Jail., https://www.proquest.com/docview/96789857/AEB17499F3C44073PQ/92?accountid=14761,24,1,1908,8
Front Page 3 -- No Title, https://www.proquest.com/docview/96606065/AEB17499F3C44073PQ/97?accountid=14761,3,1,1906,1
Article 1 -- No Title: VERONA HOSPITAL FIGHT. Council Votes Not to Oppose Newark's Tuberculosis Sanitarium., https://www.proquest.com/docview/96839978/AEB17499F3C44073PQ/99?accountid=14761,20,1,1908,4
DRAGGED BY SUBWAY TRAIN.: Guard Shut the Door on Passenger's Leg as Express Started., https://www.proquest.com/docview/96993247/AEB17499F3C44073PQ/113?accountid=14761,1,1,1909,18
MORALES'S GUNBOAT USELESS: Has No Coal -- Guellito Plans to Attack Domingan Capital., https://www.proquest.com/docview/96593667/AEB17499F3C44073PQ/135?accountid=14761,12,1,1906,4
MORALES'S GUNBOAT USELESS: Has No Coal -- Guellito Plans to Attack Domingan Capital., https://www.proquest.com/docview/96593667/AEB17499F3C44073PQ/135?accountid=14761,12,1,1906,4
EARTHQUAKE AT GONAIVES.: Number of Buildings Destroyed but No Loss of Life Yet Reported., https://www.proquest.com/docview/96791166/AEB17499F3C44073PQ/147?accountid=14761,16,1,1908,4
CACERES WINS A BATTLE.: Domingo's Future Depends on American Treaty Morales Says., https://www.proquest.com/docview/96593944/AEB17499F3C44073PQ/148?accountid=14761,15,1,1906,1
Article 5 -- No Title, https://www.proquest.com/docview/96831929/AEB17499F3C44073PQ/150?accountid=14761,25,1,1908,4
HAITIAN REVOLUTION WANING.: Government Forces Retake St. Marc and Encircle Gonaives., https://www.proquest.com/docview/96840611/AEB17499F3C44073PQ/155?accountid=14761,21,1,1908,5
SHIPPING AND MAILS, https://www.proquest.com/docview/96593810/AEB17499F3C44073PQ/173?accountid=14761,15,1,1906,10
Miniature Almanac for To-day., https://www.proquest.com/docview/96717114/AEB17499F3C44073PQ/186?accountid=14761,30,1,1907,11
SHIPPING AND MAILS, https://www.proquest.com/docview/96592989/AEB17499F3C44073PQ/193?accountid=14761,31,1,1906,14
Shipping and Mails, https://www.proquest.com/docview/96997300/AEB17499F3C44073PQ/194?accountid=14761,11,1,1909,13
Shipping and Mails, https://www.proquest.com/docview/96993528/AEB17499F3C44073PQ/209?accountid=14761,10,1,1909, C8
SHIPPING AND MAILS, https://www.proquest.com/docview/96599694/AEB17499F3C44073PQ/212?accountid=14761,30,1,1906,10
Shipping and Mails, https://www.proquest.com/docview/96974287/AEB17499F3C44073PQ/224?accountid=14761,21,1,1909,17
SHIPPING AND FOREIGN MAILS., https://www.proquest.com/docview/96578007/AEB17499F3C44073PQ/246?accountid=14761,31,1,1905,13
Shipping and Malls., https://www.proquest.com/docview/97073288/AEB17499F3C44073PQ/250?accountid=14761,20,1,1910,18
Shipping and Mails, https://www.proquest.com/docview/97052911/AEB17499F3C44073PQ/264?accountid=14761,7,1,1910,17
Shipping and Mails., https://www.proquest.com/docview/97116265/AEB17499F3C44073PQ/265?accountid=14761,21,1,1910,16
SHIPPING AND MAILS, https://www.proquest.com/docview/96817188/AEB17499F3C44073PQ/268?accountid=14761,21,1,1908,9
Shipping and Mails, https://www.proquest.com/docview/97052669/AEB17499F3C44073PQ/272?accountid=14761,8,1,1910,11
Shipping and Mails., https://www.proquest.com/docview/97088718/AEB17499F3C44073PQ/278?accountid=14761,9,1,1910,13
