year,section,type,title,date_chambre,date_senate,date_prom,date_moniteur
1905,Justice,Arrêté,Arrete du 4 Janvier qui nomme Me Emile Deslandes Sevretaire dÉtat au departement de la Justice,,,4/1/1905,4/1/1905
1905,Justice,Arrêté,Arrete qui nomme Me T Lalaeau Secretaire dÉtat au departement de la Justice,,,20/7/1905,20/7/1905
1905,Justice,Loi,"Loi qui aumente le nombre des juges des tribunaux civils de Port-au-Prince, du Cap-Haitien, des Cayes et de Jacmel",30/8/1905,31/8/1905,10/9/1905,16/9/1905
1905,Justice,Loi,Loi qui modifie l'article 401 du Code d'instruction criminelle,7/8/1905,4/9/1905,14/09/1905,5/10/1905
1905,Instruction publique,Arrêté,Arrêté sur les vacances et jours de congé,,,,15/04/1905
1905,Instruction publique,Arrêté,Arrêté déclarant d'utilité publique l'Ecole des sciences appliquées,,,,3/6/1905
1905,Instruction publique,Arrêté,Arrêté modifiant les règlements de l'école de droit,,,,19/08/1905
1905,Instruction publique,Arrêté,Arrêté autorisant les lycées de vaquer annuellement le jour de leur fête,,,,30/09/1905
1905,Intérieur,Arrêté,Arrêtés d'expulsion de 8 Syriens,,,,18/02/1905
1905,Intérieur,Arrêté,"Arrêté autorisant la constitution de la Société anonyme dite ""Compagnie Minière de l'Artibonite""",,,,8/4/1905
1905,Intérieur,Arrêté,Arrêté d'expulsion de 13 Syriens,,,,22/04/1905
1905,Intérieur,Arrêté,Arrêté d'expulsion du sieur Rostiny,,,,22/04/1905
1905,Intérieur,Arrêté,Arrêté qui modifie les statuts de la Société agricole de la Gonâve,,,,26/07/1905
1905,Intérieur,Décret,Décret du Corps Législatif prorogeant d'un mois la session de1905,28/07/1905,28/07/1905,31/07/1905,5/8/1905
1905,Intérieur,Résolution,Résolution de la Chambre concernant l'exécution de la loi sur les syriens du 13 Août 1903.,,,,9/9/1905
1905,Intérieur,Loi,Loi qui modifie le contrat de concession de la Gonáve du 8 Août 1896,23/08/1905,1/9/1905,6/9/1905,13/09/1905
1905,Intérieur,Loi,Loi qui autorise la cession à Mr M. Sylvain du contrat de concession de la « Tortue ».,23/08/1905,1/9/1905,19/09/1905,23/09/1905
1905,Intérieur,Loi,Loi sur la délimitation de la commune de Milot,31/08/1905,4/9/1905,14/09/1905,4/10/1905
1905,Relations Extérieures,Décret,Décret qui sanctionne leTraité d'extradition entre Haiti et les Etats-Unis d'Amérique,17/09/1904,16/06/1905,,26/07/1905
1905,Relations Extérieures,Traité,Traité d'extradition entre Haiti et les Etats-Uni,,,,25/8/1904
1905,Relations Extérieures,Note,Note du département des Relations Extérieures sur la situation des Etrangers en Haiti.,,,,9/8/1905
1905,Relations Extérieures,Documents,Documents relatifs à la dénonciation du Traité de1864 en Haiti et les Etats-Unis.,,,,20/09/1905
1905,Relations Extérieures,Documents,Documents relatifs à la dénonciation du traité franco-haitien du 31 Juillet 1900,,,,9/12/1905
1905,Travaux publics,Règlements,Règlement de Cie P.C.S. pour les transports des animaux,,,,7/7/1905
1905,Travaux publics,Loi,Loi qui accorde 3200 dollars au député Leconte pour l'érection d'une Statue de Desalines au Cap-Haïtien,,,,18/01/1905
1905,Travaux publics,Règlements,Règlement de la Cie. P.C.S. relatif à sa responsabilité,,,,25/01/1905
1905,Travaux publics,Loi,Loi qui sanctionne le contrat du chemin de fer des Gonaïves à Hinche,28/06/1905,10/8/1905,11/8/1905,19/08/1905
1905,Travaux publics,Contrat,Contrat de Chemin de fer des Gonaives à Hinche,,,,19/08/1905
1905,Travaux publics,Loi,Loi qui autorise à la Cie P.G.S. à prolonger son réseau de Coustard à Ganthier et Fonds Parisiens,1/9/1905,2/9/1905,4/9/1905,30/09/1905
1905,Travaux publics,Loi,Loi qui sanctionne le contrat pour la construction de phares Consenti à MM. Th Lafontant et H. Jn-Joseph,30/08/1905,4/9/1905,19/09/1905,4/10/1905
1905,Travaux publics,Loi,Loi qui sanctionne le contrat du chemin de fer des Cayes à Camp-Périn,31/08/1905,4/9/1905,19/09/1905,14/10/1905
1905,Travaux publics,Loi,Loi qui sanctionne le contrat de chemin de ?er de Port-au-Prince à Pétion-Ville,8/10/1901,22/08/1905,20/09/1905,16/12/1905
1905,Finance,Arrêté,Arrêté qui nomme M.F. Marcelin Sécrétaire d'Etat des Finances et du commerce,,,10/4/1905,12/4/1905
1905,Finance,Loi,Loi qui autorise la frappe d'un million de gourdes en pièces de nickel de cinq centimes,29/05/1905,26/../1905,29/05/1905,31/05/1905
1905,Finance,Loi,Loi qui réduit de moitié les intérêts des obligations intérieure de la Dette intérieure,7/6/1905,25/06/1905,23/06/1905,24/06/1905
1905,Finance,Loi,Loi qui modifie les articles 83 et 84 de la loi du 13 Août 1903 sur le retrait du papier-monnaie,7/6/1905,23/06/1905,24/06/1905,24/06/1905
1905,Finance,Loi,Loi qui affecte la moitié de la surtaxe de 25% or sur les droits à l'importation au retrait du papier-monnaie,28/06/1905,23/06/1905,28/06/1905,1/7/1905
1905,Finance,Loi,Loi qui dispose des valeurs recouvrées ou à recouvrer des condamnés du procès de laconsolidation.,7/6/1905,6/6/1905,7/6/1905,8/7/1905
1905,Finance,Résolution,Résolution du Corps Législatif relative aux rapports de la Banque Nationale avec le Gouvernement,,,,26/07/1905
1905,Finance,Loi,Loi qui autorise le Gouvernement à disposer du million de gourdes en pièces denickel.,31/07/1905,31/07/1905,31/07/1905,2/8/1905
1905,Finance,Avis,Avis du Secrétaire d'Etat des Finances reprenant le service de la trésorerie de la Banque Nationale,,,,2/8/1905
1905,Finance,Arrêté,Arrêté approuvant la Constitution de la Société anonyme des chemins de fer d'Haiti,,,,13/07/1905
1905,Finance,Loi,Loi qui régularise les dépenses de 1904-1905.,4/9/1905,4/9/1905,12/9/1905,20/09/1905
1905,Finance,Loi,Loi sur les douanes,25/08/1905,4/9/1905,30/09/1905,20/09/1905
1905,Finance,Loi,Loi sur les impositions directes pour 1905-1906,23/08/1905,2/9/1905,21/09/1905,27/09/1905
1905,Finance,Loi,Lois budgétaires de 1905-1906,23/08/1905,2/9/1905,21/09/1905,27/09/1905
1905,Finance,Loi,Loi qui règle la procédure à suivre pour avoir duplicata des titres de la Dette intérieure,1/9/1905,4/9/1905,14/09/1905,30/09/1905
1905,Finance,Loi,Loi qui modifie l'article 40 de la loi du 17 Octobre 1881 sur la vente des timbres,1/9/1905,4/9/1905,14/09/1905,30/09/1905
1905,Finance,Loi,Loi qui ouvre le port de Môle St -Nicolas au commerce étranger,10/8/1905,16/08/1905,17/08/1905,4/10/1905
1906,Justice,Arrêté,Arrêté autorisant le Tribunal civil de Jacmel à connaitre des Affaires Commerciales et Maritimes de la Juridiction,,,,21/02/1906
1906,Justice,Loi,Loi modifiant l'art. 1er. de la loi sur l'Exercice du droit de grâce etc,20/07/1906,26/07/1906,27/07/1906,1/8/1906
1906,Justice,Loi,Loi modifiant l'article 926 du Côde de Procédure civile,20/07/1906,17/07/1906,27/07/1906,1/8/1906
