professions,industry
Voituriers,Service
Vermicellier,Manufacturing
Usiniers Dame-Marie,Manufacturing
Usiniers A O'Rouck,Manufacturing
Usiniers A O Rouck,Manufacturing
Usiniers A Montagne,Manufacturing
Usiniers A Mirlitou,Manufacturing
Usiniers A Leogane,Manufacturing
Usiniers A L'Anse D'Hainault,Manufacturing
Usiniers A Fauche,Manufacturing
Usiniers A Cormiers,Manufacturing
Usiniers A Ca Ira,Manufacturing
Usiniers A Acul,Manufacturing
Usiniers,Manufacturing
Usinieres,Manufacturing
Usiniere A Bayeux,Manufacturing
Usiniere,Manufacturing
Usinier A Lescarmoutier,Manufacturing
Usinier A Glace,Manufacturing
Usinier A Dessources,Manufacturing
Usinier A Cafe,Manufacturing
Usinier A Baroni,Manufacturing
Usinier A Acul,Manufacturing
Usinier,Manufacturing
Usin. EE Gibbs,Manufacturing
Usin. EE Bayeux Belges,Manufacturing
Tourneur,Manufacturing
Tienturier,Service
Telegr. 6 Mois,Service
Teinturier 6M.,Service
Teinturier,Service
Tauneur,Manufacturing
Tanneur,Manufacturing
Tailleurs,Manufacturing
Tailleur,Manufacturing
Superintendant,Service
Stenographe,Service
Steno-Dactylo,Service
Steno-Dactilo,Service
Speculateur,Service
Sous Directeur Des Plantations D'Haiti A Bayeux (Port Margot),Service
Sous Directeur,Service
Sous Chef De Culture,Service
Sellier,Manufacturing
Roprietaire De 1 Chaland,Property
Restraunteur,Service
Restaurateur,Service
Repsts.De Shell Co,Manufacturing
Reprts. De Manf.,Manufacturing
Reprts. De Mais,Manufacturing
Reprsts. De Mnf.,Manufacturing
Reprst.De Fabr.,Manufacturing
Reprst. De Mnf,Manufacturing
Reprst. De Maisons,Manufacturing
Reprst. De Maison,Manufacturing
Reprst. De Fabr.,Manufacturing
Reprsl. De Fabr.,Manufacturing
Represt. De Manufacture,Manufacturing
Representant Maison De Fab,Manufacturing
Representant De Maison Fabrique Allemande,Manufacturing
Repasseur De Couteaux,Service
Rep. De Maison De Fab.,Manufacturing
Prroprietaire De 2 Accons,Property
Proteur. D'Usine,Property
Propt. D'Usines Montagnac,Property
Propt. D'Usines Centrales,Property
Propt. D'Usines,Property
Propt. D'Usine A Glace,Property
Propt. D'Usine,Property
Propt. D'Un Accon,Property
Propt. De 3 Accons,Property
Propt D'Usines,Property
Propt D'Usine,Property
Propt D'Un Canot,Property
Propt D'Un Accon,Property
Proprt De 5 Chalands,Property
Proprit. D'Un Canot,Property
Proprietaires Usine O'Rouek,Property
Proprietaires D'Usines,Property
Proprietaires D'Usine A Cafe,Property
Proprietaires D'Usine,Property
Proprietaires D'Une Chaloupe,Property
Proprietaires D'Un Voilier,Property
Proprietaires D'Un Canot,Property
Proprietaires Des Usines,Property
Proprietaires De Dix Chalands,Property
Proprietaires De Cinq Chalands,Property
Proprietaires De Chaloupes,Property
Proprietaires De Chalands,Property
Proprietaires De 8 Chalands,Property
Proprietaires De 7 Chalands,Property
Proprietaires De 5 Chalands,Property
Proprietaires De 5 Accons,Property
Proprietaires De 3 Accons,Property
Proprietaires De 2 Canots,Property
Proprietaires De 2 Accons,Property
Proprietaires De 1 Canot,Property
Proprietaires D'Accons,Property
Proprietaire D'Usine A Glace,Property
Proprietaire D'Usine A Cafe,Property
Proprietaire D'Usine,Property
Proprietaire D'Une Voiture,Property
Proprietaire D'Une Scierie,Property
Proprietaire D'Une Auto,Property
